Subject, RestLaser, RestMega, MovieLaser, MovieMega
1, 145150, 144030, 152022, 151043
2, 094202, 094804, 100912, 101454
4, 093743, 094420, 100527, 101104
6, 093407, 093942, 100039, 100615
7, 145613, 144536, 151358, 151947
9, 092245, 092839, 094939, 095516
10, 131008, 131546, 133649, 134226
11, 092815, 093400, 095503, 100039
12, 091134, 091733, 093849, 094501
13, 101850, 102439, 104531, 105108
15, 100751, 101342, 103731, 104304
16, 093133, 093744, 100007, 100541
18, 130756, 131339, 133445, 134019
19, 144704, 145251, 151404, 151948
20, 151002, 151547, 153640, 154215
22, 092817, 093409, 095509, 100045
24, 101146, 101733, 104355, 104936
26, 103533, 104109, 110250, 110827
